Countries,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008
Albania,1463,1511,1563,1616,1675,1738,1804,1869,1932,2004,2084,2165,2273,2282,2289,2299,2309,2319,2331,2347,2360,2373,2387,2400,2413,2428,2443,2459,2477,2499,1776,1632,1775,1907,2147,2333,2087,2343,2567,2741,2925,3009,3173,3343,3518,3693,3905,4149
Algeria,1799,1433,1768,1806,1870,1725,1824,1977,2105,2249,2000,2350,2357,2428,2522,2608,2759,3019,3192,3152,3131,3228,3289,3363,3431,3301,3192,3043,3067,2947,2844,2822,2697,2614,2658,2709,2694,2788,2835,2863,2895,2968,3130,3251,3374,3400,3460,3520
Angola,1396,1335,1380,1510,1596,1660,1727,1672,1691,1768,1728,1712,1789,1711,1073,954,941,960,958,961,923,862,808,790,779,694,760,853,853,868,853,821,585,579,622,675,714,748,760,770,782,876,881,951,1116,1292,1520,1684
Argentina,5862,5677,5455,5926,6371,6321,6399,6578,7037,7302,7530,7635,7962,8334,8122,7965,8304,7807,8227,8206,7607,7246,7387,7426,6835,7224,7298,7054,6520,6433,6977,7495,7828,8371,8013,8270,8828,9155,8746,8581,8124,7181,7744,8353,9019,9679,10407,10995
Australia,8653,9027,9400,9849,10152,10241,10733,11148,11561,12024,12290,12404,12878,12985,13170,13559,13546,13769,14320,14412,14660,14412,14239,15062,15638,15757,16293,16752,17194,17173,16970,17370,17853,18424,19002,19485,20110,20978,21572,21732,22271,22910,23332,23619,23996,24359,25014,25301
Austria,6827,6950,7186,7567,7734,8112,8297,8621,9131,9747,10200,10771,11235,11658,11646,12201,12767,12731,13448,13759,13718,13961,14394,14439,14752,15081,15313,15754,16360,16895,17289,17481,17377,17753,18048,18490,18809,19463,20065,20691,20813,20956,21165,21627,22141,22893,23674,24131
Bangladesh,564,550,594,589,608,604,578,619,615,630,586,506,497,547,529,541,529,551,561,549,551,545,559,576,580,592,602,605,606,631,637,655,670,683,702,720,744,768,790,822,851,873,905,948,993,1044,1095,1146
Benin,987,932,952,993,1020,1032,1016,1029,1033,1027,1006,1065,1061,955,969,983,1010,1013,1063,1128,1156,1242,1152,1206,1257,1246,1190,1189,1128,1136,1153,1162,1148,1146,1165,1193,1222,1237,1254,1285,1305,1340,1348,1347,1341,1348,1368,1394
Bolivia,1603,1654,1720,1762,1806,1891,1962,2079,2120,2176,2204,2260,2357,2418,2516,2647,2691,2715,2652,2572,2547,2394,2249,2234,2181,2074,2089,2124,2138,2197,2262,2246,2287,2344,2401,2453,2522,2598,2554,2561,2551,2559,2575,2630,2692,2767,2841,2959
Botswana,410,415,422,430,437,473,513,557,601,647,747,956,1123,1300,1223,1381,1358,1537,1613,1765,1858,1921,2144,2300,2387,2485,2619,2937,3216,3304,3360,3354,3311,3321,3367,3458,3589,3704,3845,4084,4211,4339,4429,4489,4481,4619,4728,4769
Brazil,2437,2511,2463,2472,2448,2527,2554,2704,2860,3057,3278,3538,3880,4081,4187,4470,4565,4678,4890,5195,4850,4763,4498,4643,4914,5202,5270,5155,5224,4920,4891,4800,4937,5162,5296,5366,5485,5414,5377,5532,5525,5552,5536,5772,5878,6034,6196,6429
