Countries,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008
Albania,2234,2248,2163,2276,2258,2259,2266,2346,2408,2419,2366,2395,2445,2513,2522,2716,2819,2737,2660,2660,2748,2692,2841,2759,2609,2740,2553,2648,2630,2656,2388,2649,2854,2936,2819,2981,2748,2796,2897,2842,2867,2866,2835,2819,2914,2875,2880,2851
Algeria,1700,1658,1624,1644,1704,1686,1767,1832,1826,1790,1833,1965,1959,2092,2163,2144,2306,2438,2537,2657,2685,2656,2638,2584,2701,2717,2724,2794,2861,2855,2833,2970,2969,2863,2887,2887,2836,2900,2954,2922,2996,3027,3070,3087,3056,3155,3143,3160
Angola,1804,1825,1859,1869,1882,1896,1927,1861,1952,1971,2007,1963,1920,1881,1863,1892,1954,1994,1968,1970,1888,1760,1731,1675,1689,1646,1634,1607,1588,1643,1613,1628,1566,1648,1689,1733,1735,1755,1808,1811,1828,1874,1861,1931,1983,2005,2094,2063
Argentina,3109,3082,3035,3082,3187,3142,3220,3272,3310,3339,3181,3067,3016,3204,3260,3189,3171,3228,3203,3225,3202,3062,2993,3037,3118,3030,3098,3014,2967,2913,3013,3080,3117,3156,3164,3157,3136,3169,3267,3268,3182,2966,3063,3040,3109,3056,2988,2974
Australia,3093,3114,3165,3145,3098,3178,3129,3161,3172,3204,3231,3267,3120,3053,3110,3119,3077,3034,3027,3066,3084,3115,3053,3102,3132,3088,3115,3125,3141,3177,3111,3119,3048,3048,3090,3065,3099,3020,3022,3014,3094,3094,3159,3090,3133,3206,3232,3245
Austria,3192,3196,3251,3273,3223,3235,3198,3225,3157,3233,3237,3217,3306,3213,3155,3253,3215,3216,3282,3352,3345,3398,3358,3362,3375,3429,3417,3416,3477,3509,3558,3553,3522,3584,3607,3642,3591,3727,3791,3809,3817,3745,3715,3716,3695,3760,3816,3826
Bangladesh,2130,2105,2151,2137,2100,2088,1946,2047,2103,2181,2027,1885,2000,2093,1992,2145,1949,2083,2134,2070,2043,2076,2098,2074,2113,2110,2181,2151,2128,2153,2158,2153,2050,2043,2084,2090,2140,2207,2323,2309,2378,2359,2396,2435,2417,2421,2455,2378
Benin,1747,1771,1717,1686,1833,1828,1860,1969,1906,1849,1901,1837,1921,1793,1636,1949,1890,1933,2038,1930,1889,1919,1802,2044,2035,2061,1895,2009,2207,2236,2309,2256,2273,2304,2335,2373,2386,2373,2384,2395,2386,2470,2533,2475,2527,2526,2553,2576
Bolivia,1728,1757,1805,1740,1827,1831,1886,1930,1908,2003,2053,2007,1921,2063,2131,2129,2077,2118,2150,2100,2080,2017,1932,2018,2121,2000,2026,1994,2065,1977,2061,2064,2050,2002,2149,2086,2099,1994,2082,2121,2129,2148,2154,2089,2133,2148,2144,2132
Botswana,1976,1909,1972,2001,2005,1947,2010,2052,2013,2035,2121,2133,1995,1873,1950,1931,1996,1876,2017,1968,1989,2015,2089,2208,2171,2172,2186,2204,2114,2219,2225,2203,2068,2185,2184,2210,2160,2076,2113,2117,2153,2124,2139,2190,2189,2156,2164,2187
